Mapped Sensor Values 	 red: 98	 green: 73	 blue: 88
Raw Sensor Values 	 red: 403	 green: 313	 blue: 325
Mapped Sensor Values 	 red: 100	 green: 78	 blue: 81
Raw Sensor Values 	 red: 347	 green: 338	 blue: 328
Mapped Sensor Values 	 red: 86	 green: 84	 blue: 82
Raw Sensor Values 	 red: 370	 green: 312	 blue: 352
Mapped Sensor Values 	 red: 92	 green: 78	 blue: 88
Raw Sensor Values 	 red: 397	 green: 297	 blue: 344
Mapped Sensor Values 	 red: 99	 green: 74	 blue: 86
Raw Sensor Values 	 red: 387	 green: 329	 blue: 312
Mapped Sensor Values 	 red: 96	 green: 82	 blue: 78
Raw Sensor Values 	 red: 350	 green: 343	 blue: 320
Mapped Sensor Values 	 red: 87	 green: 85	 blue: 80
Raw Sensor Values 	 red: 362	 green: 320	 blue: 349
Mapped Sensor Values 	 red: 90	 green: 80	 blue: 87
Raw Sensor Values 	 red: 393	 green: 296	 blue: 350
Mapped Sensor Values 	 red: 98	 green: 74	 blue: 87
Raw Sensor Values 	 red: 590	 green: 385	 blue: 379
Mapped Sensor Values 	 red: 147	 green: 96	 blue: 94
Raw Sensor Values 	 red: 501	 green: 393	 blue: 408
Mapped Sensor Values 	 red: 125	 green: 98	 blue: 102
Raw Sensor Values 	 red: 643	 green: 367	 blue: 425
Mapped Sensor Values 	 red: 160	 green: 91	 blue: 106
Raw Sensor Values 	 red: 564	 green: 413	 blue: 417
Mapped Sensor Values 	 red: 141	 green: 103	 blue: 104
Raw Sensor Values 	 red: 646	 green: 384	 blue: 413
Mapped Sensor Values 	 red: 161	 green: 96	 blue: 103
Raw Sensor Values 	 red: 572	 green: 398	 blue: 437
Mapped Sensor Values 	 red: 143	 green: 99	 blue: 109
Raw Sensor Values 	 red: 651	 green: 381	 blue: 418
Mapped Sensor Values 	 red: 162	 green: 95	 blue: 104
Raw Sensor Values 	 red: 570	 green: 400	 blue: 436
Mapped Sensor Values 	 red: 142	 green: 100	 blue: 109
Raw Sensor Values 	 red: 626	 green: 404	 blue: 395
Mapped Sensor Values 	 red: 156	 green: 101	 blue: 98
Raw Sensor Values 	 red: 578	 green: 389	 blue: 438
Mapped Sensor Values 	 red: 144	 green: 97	 blue: 109
Raw Sensor Values 	 red: 607	 green: 383	 blue: 388
Mapped Sensor Values 	 red: 151	 green: 95	 blue: 97
Raw Sensor Values 	 red: 522	 green: 392	 blue: 402
Mapped Sensor Values 	 red: 130	 green: 98	 blue: 100
Raw Sensor Values 	 red: 583	 green: 350	 blue: 397
Mapped Sensor Values 	 red: 145	 green: 87	 blue: 99
Raw Sensor Values 	 red: 534	 green: 387	 blue: 368
Mapped Sensor Values 	 red: 133	 green: 96	 blue: 92
Raw Sensor Values 	 red: 536	 green: 356	 blue: 414
Mapped Sensor Values 	 red: 134	 green: 89	 blue: 103
Raw Sensor Values 	 red: 550	 green: 383	 blue: 363
Mapped Sensor Values 	 red: 137	 green: 95	 blue: 90
Raw Sensor Values 	 red: 512	 green: 372	 blue: 407
Mapped Sensor Values 	 red: 128	 green: 93	 blue: 101
Raw Sensor Values 	 red: 583	 green: 354	 blue: 387
Mapped Sensor Values 	 red: 145	 green: 88	 blue: 96
Raw Sensor Values 	 red: 511	 green: 392	 blue: 376
Mapped Sensor Values 	 red: 127	 green: 98	 blue: 94
Raw Sensor Values 	 red: 556	 green: 342	 blue: 417
Mapped Sensor Values 	 red: 139	 green: 85	 blue: 104
